gRNA	gene	S1	S2	S3
HTR2A_-_47471153.23-P1P2|HTR2A_-_47471019.23-P1P2	HTR2A	-2.141073e-01	-6.857467e-01	-2.626041e-01
HTR2B_+_231989684.23-P1P2|HTR2B_+_231989764.23-P1P2	HTR2B	3.941920e-02	8.212414e-01	-5.026077e-01
HTR2C_+_113818615.23-P1P2|HTR2C_+_113818592.23-P1P2	HTR2C	1.435373e-01	9.210953e-01	3.131422e-01
HTR3A_+_113848233.23-P2|HTR3A_-_113848445.23-P2	HTR3A	-2.847516e-01	-4.525178e-01	2.354781e-01
HTR3A_-_113845969.23-P1|HTR3A_+_113845989.23-P1	HTR3A	6.530490e-01	6.745457e-01	1.197997e-01
HTR3B_+_113779931.23-P1P2|HTR3B_-_113779704.23-P1P2	HTR3B	1.103978e-01	-2.166296e-01	4.743787e-01
HTR3C_+_183770899.23-P1P2|HTR3C_+_183770842.23-P1P2	HTR3C	1.770674e+00	1.406073e+00	1.296458e+00
HTR3D_+_183749579.23-ENST00000428798.2|HTR3D_+_183749564.23-ENST00000428798.2	HTR3D	3.993165e-01	7.767157e-02	2.293392e-01
HTR3D_+_183750710.23-ENST00000382489.3|HTR3D_+_183750859.23-ENST00000382489.3	HTR3D	-3.449757e-01	2.462277e-01	4.253122e-01
HTR3E_+_183818391.23-P1P2|HTR3E_+_183818377.23-P1P2	HTR3E	3.729149e-01	1.627277e-01	1.493376e-02
HTR4_+_148033652.23-P1P2|HTR4_+_148033681.23-P1P2	HTR4	5.670017e-01	-6.285810e-01	-3.646303e-02
HTR5A_-_154862068.23-P2|HTR5A_-_154862093.23-P2	HTR5A	1.833107e+00	2.611742e+00	1.403333e+00
HTR5A_-_154863107.23-P1|HTR5A_+_154863210.23-P1	HTR5A	-1.076257e+00	-1.835782e+00	-5.966519e-01
HTR6_+_19991408.23-P1P2|HTR6_+_19991854.23-P1P2	HTR6	1.031517e+00	5.761866e-01	6.640425e-01
HTR7_+_92617726.23-P1P2|HTR7_+_92617714.23-P1P2	HTR7	1.034127e-01	1.726395e-02	1.099752e-01
HTRA1_+_124221154.23-P1P2|HTRA1_+_124221151.23-P1P2	HTRA1	2.483566e-01	6.055535e-01	2.471410e-01
HTRA2_-_74757106.23-P1P2|HTRA2_+_74757088.23-P1P2	HTRA2	-5.083178e-01	7.751305e-01	-8.177008e-02
HTRA3_+_8271534.23-P1P2|HTRA3_+_8271537.23-P1P2	HTRA3	-5.589433e-01	-4.691828e-01	4.987552e-02
